Scientific_Name,Common_Name,Vendor,Product_Type,Tags,URL,Source,Found_In_Multiple_Sources
,"""Windelov"" Java Fern",Plants,Live Plants,African Cichlid Aquarium Plants; African Cichlid Plants; Aquarium Co-Op; brand_live_plant; By Fish Tank Type_Betta Aquarium Plants; By Fish Tank Type_Goldfish Aquarium Plants; Easy Plants; Goldfish Plants; light-requirements_low-light-plants; Live Plant; live-plants; Low Light Plants; meta-related-article-how-to-plant; meta-related-article-midground-plants; Midground Plants; placement_midground-plants; type_easy-aquarium-plants; type_ferns; USA_OK; wet_plant,https://aquariumcoop.com/products/java-fern-windelov,Aquarium Co-Op,No
,A Bucephalandra Species [Grower's Choice],Aquarium Plants Factory,Home & Garden > Plants > Aquatic Plants,Bucephalandra; Buy 2 Get 1 Free,https://aquariumplantsfactory.com/products/bucephalandra-species-mystery,Aquarium Plants Factory,No
,A Bucephalandra Species Vitro Culture [Grower's Choice],Aquarium Plants Factory,,Bucephalandra; In Vitro Tissue Culture,https://aquariumplantsfactory.com/products/bucephalandra-species-mystery-in-vitro,Aquarium Plants Factory,No
,A Bucephalandra Species Vitro Culture Premium Full Bag [Grower's Choice],Aquarium Plants Factory,,Bucephalandra; In Vitro Tissue Culture,https://aquariumplantsfactory.com/products/premium-bucephalandra-species-mystery-in-vitro,Aquarium Plants Factory,No
,A Water Lily Species [Grower's Choice],Aquarium Plants Factory,Home & Garden > Plants > Aquatic Plants,Buy 2 Get 1 Free; Nymphaea,https://aquariumplantsfactory.com/products/water-lily-species-growers-choice,Aquarium Plants Factory,No
Aciotis acuminifolia,Aciotis Acuminifolia Vitro Culture,Aquarium Plants Factory,,Aciotis; In Vitro Tissue Culture,https://aquariumplantsfactory.com/products/aciotis-acuminifolia-vitro-culture,Aquarium Plants Factory,No
African water,African Water Fern / Bolbitis Heudelotii,BUCE,Aquatic Plant,aquarium plants; Aquatic Plants; Availability_In Stock; background; Buce Friday; Care_Easy; Collection_Aquarium Plants; epiphyte; fern; instock; Light_Low; Midground; Origin_Africa; Price_16.00-24.99; Price_25.00-39.99; Summer25,https://buceplant.com/products/african-water-fern-bolbitis-heudelotii,Buce Plant,No
Alternanthera amabilis,Alternanthera Amabilis Tricolor,CPA,Aquatic Plant,aquarium plants; Availability_In Stock; Collection_Aquarium Plants; instock; Light_High; Price_0.99-4.99; Price_5.00-15.99; Stem Plants,https://buceplant.com/products/alternanthera-amabilis-tricolor,Buce Plant,No
Alternanthera bettzickiana,Alternanthera Bettzickiana Red,Aquarium Plants Factory,,Alternanthera; Buy 2 Get 1 Free; Red Aquatic Plants Collection; Terrarium / Vivarium Plants,https://aquariumplantsfactory.com/products/alternanthera-bettzickiana-red,Aquarium Plants Factory,Yes
Alternanthera bettzickiana,Alternanthera Bettzickiana Green,ACW,Aquatic Plant,Aquarium Plant; aquarium plants; Aquatic Plants; Availability_In Stock; Background; Care_Medium; Collection_Aquarium Plants; instock; Light_High; Light_Medium; Midground; Origin_North America; Origin_South America; Price_5.00-15.99; Stem Plant,https://buceplant.com/products/alternanthera-bettzickiana-green,Buce Plant,Yes
Alternanthera bettzickiana,Alternanthera Bettzickiana Red,ACW,Aquatic Plant,Aquarium Plant; aquarium plants; Aquatic Plants; Availability_In Stock; background; Care_Difficult; Care_Medium; Collection_Aquarium Plants; hot; instock; Light_High; Light_Medium; midground; Origin_North America; Origin_South America; Price_16.00-24.99; Price_5.00-15.99; red aquarium plants; red plant; Stem Plant,https://buceplant.com/products/alternanthera-bettzickiana,Buce Plant,Yes
Alternanthera bettzickiana,Alternanthera Bettzickiana Red on Clay Moss Ball,ACW,Aquatic Plant,aquarium plant decor; aquarium plants; beginner plant; Collection_Aquarium Plants; Light_High; Light_Low; Light_Medium; Moss; oos; Price_5.00-15.99,https://buceplant.com/products/alternanthera-bettzickiana-red-on-clay-moss-ball,Buce Plant,Yes
