family,family_common_name,scientific_name,classification,iucn_classification,assessment_date,iucn_assessment_date,authority,authority_link,species_link
Adrianichthyidae,Ricefish,Oryzias celebensis,VU,,Aug-1996,,IUCN,,
Adrianichthyidae,Ricefish,Oryzias marmoratus,VU,,,,IUCN,,
Adrianichthyidae,Ricefish,Oryzias matanensis,VU,,,,IUCN,,
Adrianichthyidae,Ricefish,Oryzias nigrimas,VU,,,,IUCN,,
Adrianichthyidae,Ricefish,Oryzias orthognathus,EN,,,,IUCN,,
Adrianichthyidae,Ricefish,Oryzias profundicola,VU,,,,IUCN,,
Anabantidae,Climbing gouramies,Belontia signata,CWU,,,,PVL,,
Anabantidae,Climbing gouramies,Betta albimarginata,CVU,,Mar-09,,AL,,
Anabantidae,Climbing gouramies,Betta brownorum,CEN,,,,PVL,,
Anabantidae,Climbing gouramies,Betta burdigala,VU,,Aug-1996,,IUCN,http://www.iucnredlist.org/apps/redlist/details/2772/0,
Anabantidae,Climbing gouramies,Betta channoides,CVU,,Mar-09,,AL,,
Anabantidae,Climbing gouramies,Betta chini,VU,,,,IUCN,,
Anabantidae,Climbing gouramies,Betta chloropharynx,VU,,,,IUCN,,
Anabantidae,Climbing gouramies,Betta coccina,CEN,,,,PVL,,
Anabantidae,Climbing gouramies,Betta foerschi,CEN,,,,PVL,,
Anabantidae,Climbing gouramies,Betta hipposideros,VU,,,,IUCN,,
Anabantidae,Climbing gouramies,Betta livida,EN,,,,IUCN,,
Anabantidae,Climbing gouramies,Betta macrostoma,VU,,,,IUCN,,
Anabantidae,Climbing gouramies,Betta miniopinna,CR,,,,IUCN,,
Anabantidae,Climbing gouramies,Betta persephone,CR,,,,IUCN,,
Anabantidae,Climbing gouramies,Betta pi,CVU,,May-12,,AL,,
Anabantidae,Climbing gouramies,Betta rutilans,CEN,,,,PVL,,
Anabantidae,Climbing gouramies,Betta schalleri,CEN,,,,PVL,,
Anabantidae,Climbing gouramies,Betta simplex,CR,,May-12,,IUCN,,
Anabantidae,Climbing gouramies,Betta spilotogena,CR,,,,IUCN,,
Anabantidae,Climbing gouramies,Betta tomi,VU,,,,IUCN,,
Anabantidae,Climbing gouramies,Betta tussyae,CEN,,,,PVL,,
Anabantidae,Climbing gouramies,Betta uberis,CCR,,May-12,,AL,,
Anabantidae,Climbing gouramies,Macropodus hongkongensis,CVU,,May-12,,AL,,
Anabantidae,Climbing gouramies,Malpulutta kretseri,CEN,,,,PVL,,
Anabantidae,Climbing gouramies,Parosphromenus alfredi,CVU,,Sep-09,,AL,,
Anabantidae,Climbing gouramies,Parosphromenus alleni,CVU,,Sep-09,,AL,,
Anabantidae,Climbing gouramies,Parosphromenus anjunganensis,CVU,,Sep-09,,AL,,
Anabantidae,Climbing gouramies,Parosphromenus bintan,CVU,,Sep-09,,AL,,
Anabantidae,Climbing gouramies,Parosphromenus deissneri,CVU,,Sep-09,,AL,,
