
> mulm@1.0.0 script
> ts-node scripts/parse-nanfa-usa-species.ts

Parsing NANFA checklist...
Found 532 USA-native fish species

Scientific Name,Common Name,Family,Conservation Status
"Entosphenus minimus","Miller Lake Lamprey","Petromyzontidae",""
"Entosphenus similis","Klamath Lamprey","Petromyzontidae",""
"Ichthyomyzon fossor","Northern Brook Lamprey","Petromyzontidae",""
"Ichthyomyzon gagei","Southern Brook Lamprey","Petromyzontidae",""
"Ichthyomyzon greeleyi","Mountain Brook Lamprey","Petromyzontidae",""
"Ichthyomyzon unicuspis","Silver Lamprey","Petromyzontidae",""
"Lethenteron alaskense","Alaskan Brook Lamprey","Petromyzontidae",""
"Occidentis ayresii","Western River Lamprey","Petromyzontidae",""
"Occidentis hubbsi","Kern Brook Lamprey","Petromyzontidae",""
"Tetrapleurodon geminis","Jacona Lamprey","Petromyzontidae",""
"Scaphirhynchus albus","Pallid Sturgeon","Acipenseridae",""
"Scaphirhynchus suttkusi","Alabama Sturgeon","Acipenseridae",""
"Atractosteus spatula","Alligator Gar","Lepisosteidae",""
"Alosa alabamae","Alabama Shad","Clupeidae",""
"Dorosoma petenense","Threadfin Shad","Clupeidae",""
"Dorosoma smithi","Pacific Gizzard Shad","Clupeidae",""
"Lile gracilis","Graceful Herring","Clupeidae",""
"Lile stolifera","Striped Herring","Clupeidae",""
"Acrocheilus alutaceus","Chiselmouth","Cyprinidae",""
"Alburnops aguirrepequenoi","Soto la Marina Shiner","Cyprinidae",""
"Alburnops asperifrons","Burrhead Shiner","Cyprinidae",""
"Alburnops baileyi","Rough Shiner","Cyprinidae",""
"Alburnops bairdi","Red River Shiner","Cyprinidae",""
"Alburnops braytoni","Tamaulipas Shiner","Cyprinidae",""
"Alburnops edwardraneyi","Fluvial Shiner","Cyprinidae",""
"Alburnops girardi","Arkansas River Shiner","Cyprinidae",""
"Alburnops hypsilepis","Highscale Shiner","Cyprinidae",""
"Alburnops potteri","Chub Shiner","Cyprinidae",""
"Alburnops simus pecosensis","Pecos Bluntnose Shiner","Cyprinidae",""
